customer_id,channel,send_time,message,reasoning,chat_log,issue_status
115712,twitter_dm_reply,2025-06-27T19:39:52.029557Z,We’re on it! Please DM us more details about your other.,"Based on neutral sentiment and support topic 'other', twitter_dm_reply is best.","Customer: @sprintcare I have sent several private messages and no one is responding as usual
Support_agent: @115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.",pending customer reply
115713,email_reply,2025-06-27T19:49:52.029557Z,Thank you for reaching out regarding other. We've sent you an email.,"Based on positive sentiment and support topic 'other', email_reply is best.","Customer: @sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯
Support_agent: @115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC",resolved
115715,twitter_dm_reply,2025-06-27T19:29:52.029557Z,We’re on it! Please DM us more details about your other.,"Based on neutral sentiment and support topic 'other', twitter_dm_reply is best.","Customer: @115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK
Support_agent: @115715 Please send me a private message so that I can send you the link to access your account. -FR",pending customer reply
115716,twitter_dm_reply,2025-06-27T19:43:52.029557Z,We’re on it! Please DM us more details about your other.,"Based on neutral sentiment and support topic 'other', twitter_dm_reply is best.","Customer: @Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?
Support_agent: @115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj",pending customer reply
115717,email_reply,2025-06-27T19:29:52.029557Z,Thank you for reaching out regarding other. We've sent you an email.,"Based on positive sentiment and support topic 'other', email_reply is best.","Customer: Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!
Support_agent: @115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG",resolved
115718,twitter_dm_reply,2025-06-27T19:50:52.029557Z,We’re on it! Please DM us more details about your other.,"Based on neutral sentiment and support topic 'other', twitter_dm_reply is best.","Customer: My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik
Support_agent: @115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB",pending customer reply
115719,scheduling_phone_call,2025-06-27T19:46:52.029557Z,We understand your concern about other. Let’s resolve this quickly over a call.,"Based on negative sentiment and support topic 'other', scheduling_phone_call is best.","Customer: somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service
Support_agent: @115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB",escalated
115720,twitter_dm_reply,2025-06-27T19:39:52.029557Z,We’re on it! Please DM us more details about your other.,"Based on neutral sentiment and support topic 'other', twitter_dm_reply is best.","Customer: @VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz
Support_agent: @115720 Have your friend message us.
^ACM",pending customer reply
115721,twitter_dm_reply,2025-06-27T19:44:52.029557Z,We’re on it! Please DM us more details about your other.,"Based on neutral sentiment and support topic 'other', twitter_dm_reply is best.","Customer: @VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...
Support_agent: @115721 We would not be able to verify anything without authenticating your account.
^JAY",pending customer reply
115723,twitter_dm_reply,2025-06-27T19:31:52.029557Z,We’re on it! Please DM us more details about your other.,"Based on neutral sentiment and support topic 'other', twitter_dm_reply is best.","Customer: @VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet
Support_agent: @115723 Is the light on top red?
^JAY",pending customer reply
